Variant SKU,ADS Price,Suggested Resale,Variant Compare At Price,Handle,Body (HTML),Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Title,Variant Grams,Variant Inventory Qty,Variant Barcode,SEO Title,SEO Description,Variant Weight Unit,Cost per item
RE-BB-B05-1L,5.25,18.99,,bangle-bracelets-with-live-laugh-love-pink-ribbon-charms,"<p>This beautiful bangle bracelet features a 1 inch by 1 inch silver heart charm with the words ""Live Laugh Love"" and a pink ribbons incorporated in the typography. The bracelet also displays three 3/8 inch diameter silver word charms that read, ""Hope,"" ""Faith,"" and ""Love."" These sterling silver-plated bracelets include five rope style accents - which act as spacers so you can place your charms in different locations on the bracelet. Each bracelet is 8 inches.</p>",Package Quantity,1 Bracelet,,,,,Bangle Bracelets with Live Laugh Love Pink Ribbon Charms,8.981128926,500,'8945091230962,Bangle Bracelets with Live Laugh Love Pink Ribbon Charms Wholesale,These Bangle Bracelets with Live Laugh Love Pink Ribbon Charms feature 1 inch by 1 inch silver heart charms with the words 'Live Laugh Love' with pink ribbons incorporated in the typography.,lb,
RE-BB-CP35-28CV,5.25,18.99,,bangle-bracelet-with-round-coronavirus-covid-19-awareness-charm-1-bracelet-retail,"<p>This beautiful bangle bracelet features an 7/8 inch round charm with the words ""Coronavirus Awareness."" The bracelet also displays three 3/8 inch diameter silver word charms that read, ""Hope,"" ""Faith,"" and ""Love."" The sterling silver-plated bracelet includes five rope style accents - which act as spacers so you can place your charms in different locations on the bracelet. Each bracelet is 8 inches.</p>",Title,Default Title,,,,,Bangle Bracelet with Round Coronavirus (COVID-19) Awareness Charm,45.359237,500,'8945091232270,Bangle Bracelets with Coronavirus COVID-19 Charms Gift Shop,"This Bangle Bracelets with Coronavirus COVID-19 Awareness Charms features a round charm with the words ""Coronavirus Awareness.""",lb,
RE-BB-HC05-1,5.25,18.99,,bangle-bracelet-with-decorative-heart-pink-ribbon-charm-1-bracelet-retail,"<p>This decorative heart pink ribbon charm bracelet is a great way to show awareness and share inspiration. The bracelet has a 3/4 inch by 3/4 inch silver heart charm with a pink crystal ribbon and three 3/8 inch diameter silver word charms that say ""Hope"", ""Faith"" and ""Love"". The sterling silver plated bracelet is 8 inches and has five rope style accents which effectively act as spacers so you can place your charms in different locations on the bracelet. To open or close the bracelet, you simply squeeze the bracelet to unlock or lock the clasp. Each bracelet is 8 inches. </p>",Title,Default Title,,,,,Bangle Bracelet with Decorative Heart Pink Ribbon Charm,45.359237,500,'849228086539,,This Bangle Bracelet with Decorative Heart Pink Ribbon Charm is a beautiful breast cancer awareness bracelet. Three inspirational word charms say Hope Faith and Love.,lb,
RE-BB-HRT-15LC,5.25,18.99,,bangle-bracelet-with-lung-cancer-heart-charm-1-bracelet-retail,"<p>This Lung Cancer awareness silver bangle bracelet has two charms: a white ribbon charm and a silver heart charm that says ""Lung Cancer Awareness"". The pretty bracelet has five rope style accents. To open or close the bracelet, you simply squeeze the bracelet to unlock or lock the clasp. The sterling silver plated bracelet is 8 inches.</p>",Title,Default Title,,,,,Bangle Bracelet with Lung Cancer Heart Charm,45.359237,999,'849228083378,"Bangle Bracelet w Lung Cancer Heart Charm, Awareness Jewelry Gift",A beautiful Bangle Bracelet with Lung Cancer Heart Charm makes a thoughtful gift for someone affected by lung cancer. You will find the perfect awareness jewelry gift here.,lb,
RE-BB-HRT-1BC,5.25,18.99,,bangle-bracelets-with-breast-cancer-heart-charms,"<p>This breast cancer awareness charm bracelet has a 5/8 inch silver heart charm with a pink ribbon and the words ""Breast Cancer Awareness"" along with three 3/8 inch diameter silver word charms that say ""Live Laugh Love."" The sterling silver plated bracelets have five rope style accents which effectively act as spacers so you can place your charms in different locations on the bracelet. To open or close the bracelet, you simply squeeze the bracelet to unlock or lock the clasp. Each bracelet is 8 inches.</p>",Package Quantity,1 Bracelet,,,,,Bangle Bracelets with Breast Cancer Heart Charms,8.981128926,500,'849228088168,Bangle Bracelets with Pink Breast Cancer Heart Charms Wholesale,Wholesale Bangle Bracelets with Breast Cancer Heart Charms have a pretty silver heart charm with a pink ribbon. Add the inspirational word charms of your choice to create beautiful custom awareness and fundraising jewelry.,lb,
RE-BB-HRT-32SC,5.25,18.99,,semicolon-suicide-prevention-awareness-bangle-bracelet,"<p>Our semicolon suicide prevention awareness bangle charm bracelet features a 5/8 inch by 5/8 inch silver heart charm. Three additional 3/8 inch diameter charms decorate the bracelet and read, ""Hope,"" ""Faith,"" and ""Love."" This sterling silver-plated wire bangle bracelet is adjustable in size by squeezing or stretching the slide mechanism design. The bracelet is 8 1/2 inches.</p>",Title,Default Title,,,,,Semicolon Suicide Prevention Awareness Bangle Bracelet,22.6796185,999,'8945091238098,Semicolon Suicide Awareness Charm Bangle Bracelet Gift Shop,Our Semicolon Suicide Prevention Awareness Bangle Bracelet is a thoughtful gift for advocates and survivors. We ship nationwide!,lb,
RE-BB-HRT-3OC,5.25,18.99,,bangle-bracelets-with-ovarian-cancer-heart-charms,"<p>This ovarian cancer awareness charm bracelet has a 5/8 inch silver heart charm with a teal ribbon and the words ""Ovarian Cancer Awareness"" along with three 3/8 inch diameter silver word charms that say ""Hope Faith Love"". The sterling silver plated bracelets have five rope style accents which effectively act as spacers so you can place your charms in different locations on the bracelet. To open or close the bracelet, you simply squeeze the bracelet to unlock or lock the clasp. Each bracelet is 8 inches.</p>",Package Quantity,1 Bracelet,,,,,Bangle Bracelets with Ovarian Cancer Heart Charms,8.981128926,500,'8945091223155,Bangle Bracelets with Teal Ovarian Cancer Heart Charms Wholesale,"Our wholesale Bangle Bracelets with Teal Ovarian Cancer Heart Charms say hope, faith, love to send a message of love and support for your favorite ovarian cancer patient or survivor.",lb,
RE-BB-RBP-03,5.25,18.99,,bangle-bracelets-with-rainbow-heart-gay-pride-charms,"<p>This rainbow heart charm bracelet has a 5/8 inch by 5/8 inch rainbow heart charm along with three 3/8 inch diameter silver word charms that say ""Hope Faith Love."" The sterling silver plated bracelets have five rope style accents which effectively act as spacers so you can place your charms in different locations on the bracelet. To open or close the bracelet, you simply squeeze the bracelet to unlock or lock the clasp. Each bracelet is 8 inches.</p>",Package Quantity,1 Bracelet,,,,,Rainbow Heart Gay Pride Bangle Bracelets,8.981128926,500,'849228087765,Bangle Bracelets with Rainbow Heart Charms Wholesale,"Wholesale Bangle Bracelets with Rainbow Heart Charms are perfect for your gay pride awareness or any rainbow causes event. Contain the word charms faith, hope and love.",lb,
RE-BB-RBP-132,5.25,18.99,,rainbow-infinity-gay-pride-beaded-bracelet-1-bracelet-retail,"<p>Show your support and express your pride with this rainbow beaded bracelet! This bracelet is made with rainbow-colored beads and a rainbow infinity charm. The heart-shaped toggled clasp provides a beautiful finishing touch. The bracelet is 7 1/2 inches wide and is elastic, so it stretches to fit most any size wrist. The charm is 3/4 inch by 1/4 inch.</p>",Title,Default Title,,,,,Rainbow Infinity Gay Pride Beaded Bracelet,22.6796185,499,'8945091228266,Rainbow Infinity Gay Pride Beaded Bracelet Gift Shop,Show your support and express your pride with this Rainbow Infinity Gay Pride Beaded Bracelet! This bracelet is made with rainbow-colored beads and a rainbow infinity charm.,lb,
RE-BBM-3,2.75,9.99,,butterfly-teal-ribbon-coffee-mug-1-mug-retail,"<p>This teal ribbon coffee mug has a butterfly design where the middle of the butterfly is a teal ribbon. The butterfly is surrounded by flowers and the words Believe, Determination, Strength, Courage, Hope, and Love. Each 12 ounce ceramic coffee mug comes in a gift box and is dishwasher safe.</p>",Title,Default Title,,,,,Butterfly Teal Ribbon Coffee Mug,453.59237,245,'814361013087,"Teal Ribbon Coffee Mug Retail, Ovarian Cancer Mug",This is a beautiful teal ribbon coffee mug. Each ovarian cancer mug has a teal awareness ribbon to show support for ovarian cancer awareness.,lb,
RE-BBM-4,2.75,9.99,,butterfly-purple-ribbon-coffee-mug-1-mug-retail,"<p>This purple ribbon mug has a butterfly design where the middle of the butterfly is a purple ribbon and the butterfly is surrounded by flowers and the words ""Believe, Determination, Strength, Courage, Hope, Love."" Each ceramic coffee mug comes in a gift box and is dishwasher safe.</p>",Title,Default Title,,,,,Butterfly Purple Ribbon Coffee Mug,453.59237,5,'814361017375,Butterfly Believe Purple Ribbon Coffee Mug Retail,This is a beautiful butterfly believe purple ribbon coffee mug that makes a wonderful gift for someone doing the Relay For Life Walk.,lb,
RE-BBM-7,2.75,9.99,,butterfly-gray-ribbon-coffee-mug-1-mug-retail,"<p>This gray ribbon coffee mug has a pretty butterfly design where the middle of the butterfly is a gray ribbon. The butterfly is surrounded by flowers and the words ""Believe, Determination, Strength, Courage, Hope, Love."" This 12 ounce ceramic coffee mug comes in a gift box and is dishwasher safe.</p>",Title,Default Title,,,,,Butterfly Gray Ribbon Coffee Mug,453.59237,629,'814361016958,Butterfly Believe Gray Ribbon Coffee Mug Retail,This is a beautiful butterfly believe gray ribbon coffee mug that makes a wonderful cancer patient gift. It is a white mug with an gray ribbon as a butterfly.,lb,
RE-BC-01-1,2.25,12.99,,large-pink-ribbon-leather-cord-bracelet-1-bracelet-retail,<p>This pink ribbon bracelet features a large pink ribbon charm on a trendy black leather cord bracelet. The black cord bracelet is 8 inches and the sterling silver plated charm is 3/4 inch tall. </p>,Title,Default Title,,,,,Large Pink Ribbon Leather Cord Bracelet,45.359237,500,'849228053654,Breast Cancer Large Pink Ribbon Leather Cord Bracelet,This Large Pink Ribbon Leather Cord Bracelet is a nice gift for someone going through breast cancer treatment or great to wear to show your support and awareness.,lb,
RE-BC-01-11,2.25,12.99,,black-cord-gold-ribbon-bracelet-1-bracelet-retail,<p>This black cord gold ribbon bracelet features a gold ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch tall. </p>,Title,Default Title,,,,,Gold Ribbon Charm on Black Cord Bracelet,45.359237,999,'849228083972,"Black Leather Cord Gold Ribbon Bracelet, Pediatric Cancer Gifts",Look trendy with this gold ribbon black leather cord bracelet and show your support for pediatric cancer awareness. Great gift for a young person battling childhood cancer.,lb,
RE-BC-01-2,2.25,12.99,,large-autism-ribbon-leather-cord-bracelets,<p>This autism awareness charm bracelet features a multicolored autism ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charms are 3/4 inch.  </p>,Package Quantity,1 Bracelet,,,,,Large Autism Ribbon Leather Cord Bracelets,8.981128926,500,'849228062199,Large Autism Ribbon Leather Cord Bracelets Wholesale,Our Large Autism Ribbon Leather Cord Bracelets have an autism ribbon charm on a black leather cord bracelet. Great fundraising bracelets for autism spectrum disorder and Asperger's syndrome awareness.,lb,
RE-BC-01-28-CV,2.25,12.99,,black-cord-coronavirus-disease-covid-19-awareness-bracelet-retail,<p>This black cord coronavirus disease (COVID-19) awareness bracelet features a red and yellow ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch tall.</p>,Title,Default Title,,,,,Coronavirus Disease (COVID-19) Awareness Charm on Black Cord Bracelet,22.6796185,2,'8945091235875,Black Cord Coronavirus Disease (COVID-19) Awareness Bracelet,Get black cord coronavirus disease (COVID-19) awareness bracelets feature a red and yellow ribbon charm on trendy black leather. Can deliver all across USA,lb,
RE-BC-01-34,2.25,12.99,,black-cord-light-green-ribbon-bracelet-1-bracelet-retail,<p>This black cord light green ribbon bracelet features a light green ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch tall. </p>,Title,Default Title,,,,,Light Green Ribbon Charm on Black Cord Bracelet,45.359237,999,'849228074895,Light Green Ribbon Black Leather Cord STD Awareness Bracelet,This Black Cord Light Green Ribbon Bracelet is in a popular leather cord style and a fun way to show support for STD and HPV awareness.,lb,
RE-BC-01-6,2.25,12.99,,large-red-ribbon-leather-cord-bracelet-1-bracelet-retail,<p>This red ribbon awareness charm bracelet features a red ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 3/4 inch. </p>,Title,Default Title,,,,,Large Red Ribbon Leather Cord Bracelet,22.6796185,500,'8945091224459,Large Red Ribbon Leather Cord Bracelet Gift Shop,This beautiful Large Red Ribbon Leather Cord Bracelet can be worn daily to show your support for HIV/AIDS or heart disease awareness.,lb,
RE-BC-01-RB,2.25,12.99,,black-cord-large-rainbow-ribbon-bracelets,<p>This black cord rainbow ribbon bracelet features a rainbow ribbon charm on trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch tall. </p>,Package Quantity,1 Bracelet,,,,,Large Rainbow Ribbon Black Cord Bracelets,8.981128926,500,'849228083774,Black Leather Cord Rainbow Large Ribbon Bracelets Wholesale,Our wholesale rainbow ribbon bracelets come on a trendy black leather cord bracelet and are perfect for your gay pride awareness or fundraising event. Rainbow ribbon bracelets make it easy and fun to show your support.,lb,
RE-BC-01-SPBA,2.25,12.99,,black-cord-baseball-softball-bracelets,<p>This black cord baseball/softball bracelet features round silver and a black charm with the markings of a baseball or softball on trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch in diameter. </p>,Package Quantity,1 Bracelet,,,,,Black Cord Baseball/Softball Bracelets,8.981128926,500,'849228071696,Black Leather Cord Baseball/Softball Bracelets Wholesale,These wholesale Black Leather Cord Baseball/Softball Bracelets can worn by team members to show solidarity or sold for a team fundraiser.,lb,
RE-BC-01-SPG,2.25,12.99,,i-love-golf-black-cord-bracelet-1-bracelet-retail,"<p>This trendy black cord leather bracelet features a silver charm that says ""I Love Golf"" where the ""O"" in golf is a golf ball. Great gift for your favorite golfer or golf fan. The leather bracelet is 8 inches and the sterling silver plated charm is 5/8 inch tall by 1 inch wide. </p>",Title,Default Title,,,,,I Love Golf Black Cord Bracelet,45.359237,500,'849228084160,"I Love Golf Black Leather Cord Bracelet, Sports Jewelry Gift Shop",This I Love Golf black cord leather charm bracelet makes a great gift for your golfer or golf fan.,lb,
RE-BC-01-SPS,2.25,12.99,,black-cord-soccer-ball-bracelets,<p>This black cord soccer ball bracelet features a round silver and black charm with the markings of a soccer ball on trendy black leather cord bracelets with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch in diameter. </p>,Package Quantity,1 Bracelet,,,,,Black Cord Soccer Ball Bracelets,8.981128926,500,'849228071597,Black Leather Cord Soccer Ball Bracelets Wholesale,"Raise money for your youth, high school, college or recreational soccer team by selling trendy wholesale Black Leather Cord Soccer Ball Bracelets to team members and fans.",lb,
RE-BC-01AT,2.25,12.99,,autism-awareness-heart-leather-cord-bracelets,"<p>This autism awareness charm bracelet features a silver heart charm†that have a puzzle piece with hands and the words ""Autism Touches Us All""†</span>on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charms are 2.3†cm by 2.4 cm. </p>",Package Quantity,1 Bracelet,,,,,Autism Touches Us All Heart Leather Cord Bracelets,8.981128926,500,'814361010215,,"Autism Touches Us All Heart Leather Cord Bracelets have a heart shaped charm with a puzzle piece with hands and the words ""Autism Touches Us All"" on a black leather cord bracelet. Great wholesale fundraising bracelets for autism spectrum disorder and Asperger's syndrome awareness.",lb,
RE-BC-02-SPBA,2.25,12.99,,black-cord-i-love-softball-bracelets,"<p>This black cord I Love Softball bracelet features a silver charm that says ""I Love Softball"" with a softball on trendy black leather cord bracelet with a lobster clasp. The bracelets are 8 inches long and the sterling silver plated charms are 3/4 inch tall by 1 inch wide. </p>",Package Quantity,1 Bracelet,,,,,Black Cord I Love Softball Bracelets,11.02229459,500,'849228071610,Black Leather Cord I Love Softball Bracelets Wholesale,"These wholesale Black Leather Cord I Love Softball Bracelets can worn by team members to show solidarity or sold for a team fundraiser for your youth, high school, college or recreational softball team.",lb,
RE-BC-03-FRB,2.25,12.99,,law-enforcement-blue-line-leather-charm-bracelet-1-bracelet-retail,<p>This black cord law enforcement support blue line charm bracelet features a black rectangle charm with a blue line through the middle on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch by 3/8 inch. </p>,Title,Default Title,,,,,Law Enforcement Blue Line Leather Charm Bracelet,45.359237,999,'810003040725,Black Cord Law Enforcement Blue Line Charm Bracelet LEO Gift Shop,Wear a Black Cord Law Enforcement Blue Line Charm Bracelet to show your love and respect for police officers and other LEO personnel. This popular leather cord style bracelet is a fun way to show support for the first responder community.,lb,
RE-BC-03-FRR,2.25,12.99,,black-cord-firefighters-red-line-charm-bracelet-1-bracelet-retail,<p>This black cord firefighters support red line charm bracelet features a black rectangle charm with a red line through the middle on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 3/4 inch by 3/8 inch. </p>,Title,Default Title,,,,,Firefighters Red Line Charm Charm on Black Cord Bracelet,45.359237,500,'810003040749,"Black Cord Firefighters Red Line Charm Bracelet, Jewelry Gifts",Wear a Black Cord Firefighters Red Line Charm Bracelet to show your love and respect for firemen and other fire rescue personnel. This popular leather cord style bracelet is a fun way to show support for the first responder community.,lb,
RE-BC-03-R,2.25,12.99,,christian-fish-cross-symbol-black-cord-bracelet,<p>This sterling silver plated religious bracelet †features a Christian Fish Cross pendant†a trendy black cord bracelet. The bracelet is 8 inches and the charm is 5/8 inches tall and 3/8 inches wide. This religious bracelet will make a thoughtful gift for friends and loved ones.† </p>,Package Quantity,1 Bracelet,,,,,Christian Fish Cross Symbol Black Cord Bracelet,11.02229459,500,'849228006728,"Christian Fish Cross Symbol Black Cord Bracelet, Silver Religious Jewelry",Our Christian Fish Cross Symbol Black Cord Bracelets are perfect for your church fundraising event. The beautiful religious awareness bracelets also make meaningful gifts.,lb,
RE-BC-03-SPTN,2.25,12.99,,black-cord-love-tennis-bracelets,"<p>This black cord Love Tennis bracelet features a round silver charm with the word ""Love"" and a tennis racket and a tennis ball on trendy black leather cord bracelet with a lobster clasp. The bracelet  is 8 inches long and the sterling silver plated charm is 3/4 inch in diameter. </p>",Package Quantity,1 Bracelet,,,,,Black Cord Love Tennis Bracelets,11.02229459,500,'849228071658,Black Leather Cord Love Tennis Bracelets Wholesale,"These wholesale Black Leather Cord Love Tennis Bracelets make great gifts for an end of the year banquet for your youth, high school, college or recreational tennis team.",lb,
RE-BC-03-TS,2.25,12.99,,black-cord-apple-charm-bracelet-1-bracelet-retail,<p>This trendy black cord leather bracelet features adorable silver charm in the shape of an apple. The bracelet is 8 inches long and the charm is 1/2 inch tall by 3/8 inch wide. Great teacher appreciation gift </p>,Title,Default Title,,,,,Apple Charm Charm on Black Cord Bracelet,45.359237,500,'849228097740,"Black Leather Cord Apple Charm Bracelet, Teacher Jewelry Gifts",This Black Cord Apple Bracelet has a silver apple charm on a black leather cord style bracelet. Great gift for your favorite teacher.,lb,
RE-BC-04-2,2.25,12.99,,large-autism-awareness-puzzle-piece-leather-cord-bracelets,<p>This autism awareness charm bracelet features a sterling silver plated†puzzle piece </span>on a trendy black leather cord bracelet with a lobster clasp.† This attractive bracelet is perfect for gift giving to raise awareness for Autism.† The bracelet is 8 inches and the sterling silver plated charms are approximately†1 inch by†1 inch. </p>,Package Quantity,1 Bracelet,,,,,Products Large Autism Awareness Puzzle Piece Leather Cord Bracelets,8.981128926,500,'849228018400,,Our autism awareness charm bracelet features a sterling silver puzzle pieces on a trendy black leather cord bracelet with a lobster clasp. They are pretty and high quality bracelets for gift giving and fundraising for ASD.,lb,
RE-BC-04-R,2.25,12.99,,let-your-faith-be-bigger-than-your-fear-black-cord-bracelet,"<p>This sterling silver plated religious bracelet has a square shaped charm with the inspiration words ""Let Your Faith Be Bigger Than Your Fear"" on a†trendy black cord bracelet. The bracelet is 8 inches. </p>",Package Quantity,1 Bracelet,,,,,Let Your Faith Be Bigger Than Your Fear Black Cord Bracelet,11.02229459,500,'849228037586,"Let Your Faith Be Bigger Than Your Fear Black Cord Bracelet, Silver Religious Jewelry",Our Let Your Faith Be Bigger Than Your Fear Black Cord Bracelets are perfect for your church fundraising event. The beautiful religious awareness bracelets also make meaningful gifts.,lb,
RE-BC-04-SPS,2.25,12.99,,black-cord-i-love-soccer-bracelets,"<p>This black cord I Love Soccer bracelet  features a silver charm that says ""I Love Soccer"" with a soccer ball on trendy black leather cord bracelet  with a lobster clasp. The bracelet  is 8 inches long and the sterling silver plated charm is 3/4 inch tall by 3/4 inch wide. </p>",Package Quantity,1 Bracelet,,,,,Black Cord I Love Soccer Bracelets,11.02229459,500,'849228071672,Black Leather Cord I Love Soccer Bracelets Wholesale,"These wholesale Black Leather Cord I Love Soccer Bracelets can worn by team members to show spirit or sold to fans for a team fundraiser for your youth, high school, college or recreational soccer team.",lb,
RE-BC-04-TS,2.25,12.99,,black-cord-abc-book-bracelet-1-bracelet-retail,"<p>This trendy black cord leather bracelet features a silver charm in the shape of a book with ""ABC"" on the front. The bracelet is 8 inches long and the charm is 5/8 inch tall by 1/2 inch wide. Great teacher appreciation gift </p>",Title,Default Title,,,,,ABC Book Charm on Black Cord Bracelet,45.359237,5,'849228097764,"Black Leather Cord ABC Book Bracelet, Teacher Jewelry Gift Shop",This Black Cord ABC Book Bracelet has a silver ABC Book charm on a black leather cord style bracelet. Great gift for your favorite teacher.,lb,
RE-BC-05-1,2.25,12.99,,puffed-heart-pink-ribbon-leather-cord-bracelet-1-bracelet-retail,<p>This pink ribbon bracelet features a puffed silver heart pink ribbon charm on a trendy black leather cord bracelet. The black cord bracelet is 8 inches and the sterling silver plated charm is 1/2 inch tall. </p>,Title,Default Title,,,,,Puffed Heart Pink Ribbon Leather Cord Bracelet,45.359237,500,'849228053661,Puffed Heart Pink Ribbon Breast Cancer Leather Cord Bracelet,This Puffed Heart Pink Ribbon Leather Cord Bracelet is a nice gift for someone going through breast cancer treatment or great to wear to show your support and awareness.,lb,
RE-BC-05-R,2.25,12.99,,blessed-hope-faith-and-love-cross-black-cord-bracelet,"<p>This sterling silver plated religious bracelet has a†cross shaped charm with the inspirational words ""Blessed, Hope, Faith, and Love Cross"" on†trendy black cord bracelet. The bracelet is 8 inches and the charm is 1/2 inch tall and 3/4 inch wide.† </p>",Package Quantity,1 Bracelet,,,,,"Blessed, Hope, Faith, and Love Cross Black Cord Bracelet",11.02229459,500,'814361013315,"Blessed, Hope, Faith, and Love Cross Black Cord Bracelet, Silver Religious Jewelry","Blessed, Hope, Faith, and Love Cross Black Cord Bracelet are perfect for your church fundraising event. The beautiful religious awareness bracelets also make meaningful gifts.",lb,
RE-BC-05-TS,2.25,12.99,,black-cord-school-bus-bracelet-1-bracelet-retail,"<p>This trendy black cord leather bracelet features a silver charm in the shape of a school bus with the words ""School Bus"" on it. The bracelet is 8 inches long and the charm is 1/2 inch tall by 3/4 inch wide. Great teacher appreciation gift </p>",Title,Default Title,,,,,School Bus Charm on Black Cord Bracelet,45.359237,499,'849228097788,"Black Leather Cord School Bus Bracelet, Teacher Jewelry Gift Shop",This Black Cord School Bus Bracelet has a pretty silver school bus charm on a black leather cord style bracelet. Great gift for your favorite teacher or bus driver.,lb,
RE-BC-06-1,2.25,12.99,,pink-ribbon-leather-cord-bracelet-1-bracelet-retail,<p>This pink ribbon bracelet features a two-sided pink ribbon charm on a trendy black leather cord bracelet. The black cord bracelet is 8 inches and the sterling silver plated charm is 1/2 inch tall. </p>,Title,Default Title,,,,,Pink Ribbon Awareness Leather Cord Bracelet,45.359237,499,'849228053678,"Pink Ribbon Leather Cord Bracelet, Breast Cancer Jewelry Gifts",This Pink Ribbon Leather Cord Bracelet is a nice gift for someone going through breast cancer treatment or great to wear to show your support and awareness.,lb,
RE-BC-06-2,2.25,12.99,,autism-ribbon-leather-cord-bracelets,<p>This autism awareness charm bracelets feature two-sided multicolored autism ribbon charms on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is  1/2 inch.  </p>,Package Quantity,1 Bracelet,,,,,Autism Ribbon Leather Cord Bracelets,8.981128926,500,'849228062229,"Autism Ribbon Leather Cord Bracelets Wholesale, ASD Awareness",Our Autism Ribbon Leather Cord Bracelets have an autism ribbon charm on a black leather cord bracelet. Great fundraising bracelets for autism spectrum disorder and Asperger's syndrome awareness.,lb,
RE-BC-06-6,2.25,12.99,,small-red-ribbon-leather-cord-bracelet-1-bracelet-retail,<p>This red ribbon awareness charm bracelet features a two-sided red ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches and the sterling silver plated charm is 1/2 inch. </p>,Title,Default Title,,,,,Small Red Ribbon Leather Cord Bracelet,22.6796185,500,'8945091224473,Small Red Ribbon Leather Cord Bracelet Gift Shop,This beautiful Small Red Ribbon Leather Cord Bracelet can be worn daily to show your support for HIV/AIDS or heart disease awareness.,lb,
RE-BC-06-MU,2.25,12.99,,black-cord-music-note-bracelet-1-bracelet-retail,<p>This trendy black cord leather bracelet features a silver charm in the shape of a music note. Makes the perfect gift for your favorite orchestra or marching band member. The bracelet is 8 inches and the sterling silver plated charm is 3/4 inch tall by 1/2 inch wide. </p>,Title,Default Title,,,,,Music Note Charm on Black Cord Bracelet,45.359237,9,'849228072662,"Music Note Black Leather Cord Bracelet, Orchestra Jewelry Gifts",This music note black cord leather charm bracelet makes a great gift for your favorite orchestra or marching band member.,lb,
RE-BC-06-RB,2.25,12.99,,black-cord-small-rainbow-ribbon-bracelet-1-bracelet-retail,<p>This black cord rainbow ribbon bracelet features a two-sided rainbow ribbon charm on a trendy black leather cord bracelet with a lobster clasp. The bracelet is 8 inches long and the sterling silver plated charm is 1/2 inch tall. </p>,Title,Default Title,,,,,Small Rainbow Ribbon Charm on Black Cord Bracelet,45.359237,500,'849228083798,Small Rainbow Ribbon Black Leather Cord Pride Awareness Bracelet,Wear a small Rainbow Ribbon Black Leather Cord Bracelet to show your pride. This popular leather cord style bracelet is a fun way to show support for gay pride awareness.,lb,
RE-BC-07-SPBK,2.25,12.99,,black-cord-i-love-basketball-bracelet-1-bracelet-retail,"<p>This trendy black cord leather bracelet features a silver charm that says ""I Love Basketball"" with a basketball. Makes the perfect gift for your favorite hoops player or sports fan. The leather bracelet is 8 inches and the sterling silver plated charm is 3/4 inch tall by 1 inch wide. </p>",Title,Default Title,,,,,I Love Basketball Charm on Black Cord Bracelet,45.359237,500,'849228073812,"I Love Basketball Black Leather Cord Bracelet, Sports Jewelry Gifts",This I Love Basketball black cord leather charm bracelet makes a great gift for your hoops player or sports fan.,lb,
RE-BC-08-CH,2.25,12.99,,cheering-pom-poms-and-megaphone-leather-bracelet-1-bracelet-retail,"<p>This trendy black cord leather bracelet features a silver charm in the shape of a cheerleading megaphone and pom poms with the word ""CHEER"" in bold black letters. Makes the perfect gift for your favorite cheerleader. The bracelet is 8 inches and the sterling silver plated charm is 3/4 inch tall x 7/8 inch wide. </p>",Title,Default Title,,,,,Cheering Pom Poms and Megaphone Leather Bracelet,45.359237,500,'849228073959,Cheerleading Pom Poms and Megaphone Black Leather Cord Bracelet,This cheerleading pom poms and megaphone charm black cord leather bracelet makes a great gift for your favorite cheerleader.,lb,
RE-BC-08-TS,2.25,12.99,,black-cord-i-love-my-teacher-bracelet-1-bracelet-retail,"<p>This trendy black cord leather bracelet features a silver heart charm with the words ""I Love My Teacher"" and a red heart. The bracelet is 8 inches long and the charm is 3/4 inch by 3/4 inch. Great teacher appreciation gift </p>",Title,Default Title,,,,,I Love My Teacher Charm on Black Cord Bracelet,45.359237,500,'849228097801,"Black Cord I Love My Teacher Bracelet, School Jewelry Gift Shop",This I Love My Teacher heart charm bracelet has a pretty silver heart charm on a black leather cord style bracelet. Great gift for your favorite teacher.,lb,
